 2_stage                   SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
   152     5    31  2008       1       1  field                  0.032       0.063       0.004       0.314       0.734       0.000       0.000       0.001       0.001
   152     5    31  2008       2       2  sat_buff               1.186       1.342       0.948       0.119       0.573       0.001       0.000       0.000       0.000
   182     6    30  2008       1       1  field                  0.000       0.000       0.000       0.000       0.645       0.000       0.000       0.000       0.000
   182     6    30  2008       2       2  sat_buff               0.017       2.270       0.422       0.200       0.567       0.000       0.000       0.000       0.000
   213     7    31  2008       1       1  field                  0.000       0.000       0.000       0.000       0.543       0.000       0.000       0.000       0.000
   213     7    31  2008       2       2  sat_buff               0.000       0.000       0.000       0.090       0.599       0.000       0.000       0.000       0.000
   244     8    31  2008       1       1  field                  0.000       0.000       0.000       0.000       0.459       0.000       0.000       0.000       0.000
   244     8    31  2008       2       2  sat_buff               0.000       0.000       0.000       0.122       0.619       0.000       0.000       0.000       0.000
   274     9    30  2008       1       1  field                  0.001       0.002       0.000       0.019       0.409       0.000       0.000       0.000       0.000
   274     9    30  2008       2       2  sat_buff               0.097       0.140       0.009       0.573       0.620       0.000       0.000       0.000       0.000
   305    10    31  2008       1       1  field                  0.000       0.000       0.000       0.000       0.388       0.000       0.000       0.000       0.000
   305    10    31  2008       2       2  sat_buff               0.000       0.000       0.000       0.348       0.663       0.000       0.000       0.000       0.000
   335    11    30  2008       1       1  field                  0.000       0.000       0.000       0.000       0.346       0.000       0.000       0.000       0.000
   335    11    30  2008       2       2  sat_buff               0.000       0.000       0.000       0.153       0.659       0.000       0.000       0.000       0.000
   366    12    31  2008       1       1  field                  0.215       0.766       0.046      25.166       0.330       0.000       0.000       0.007       0.000
   366    12    31  2008       2       2  sat_buff               8.216       4.794      12.478       0.500       0.600       0.001       0.000       0.006       0.000
    31     1    31  2009       1       1  field                  0.000       0.000       0.000       0.000       0.293       0.000       0.000       0.000       0.000
    31     1    31  2009       2       2  sat_buff               0.025       0.000      13.529       0.000       0.486       0.000       0.000       0.000       0.000
    59     2    28  2009       1       1  field                  0.107       0.223       0.013      14.072       0.346       0.000       0.000       0.002       0.000
    59     2    28  2009       2       2  sat_buff               3.846       3.005       6.906       0.435       0.446       0.001       0.000       0.000       0.000
    90     3    31  2009       1       1  field                  0.074       0.146       0.009       0.319       0.731       0.000       0.000       0.001       0.022
    90     3    31  2009       2       2  sat_buff               3.891      20.046      11.941       0.023       0.655       0.002       0.000       0.000       0.000
   120     4    30  2009       1       1  field                  0.401       0.806       0.047       2.141       0.986       0.000       0.000       0.007       0.041
   120     4    30  2009       2       2  sat_buff              15.037      71.082      22.236       0.033       0.665       0.001       0.000       0.001       0.000
   151     5    31  2009       1       1  field                  0.011       0.022       0.001       0.014       1.008       0.000       0.000       0.000       0.008
   151     5    31  2009       2       2  sat_buff               0.525       1.733       0.126       0.022       0.689       0.001       0.000       0.000       0.000
   181     6    30  2009       1       1  field                  0.000       0.000       0.000       0.000       0.852       0.000       0.000       0.000       0.000
   181     6    30  2009       2       2  sat_buff               0.001       0.001       0.000       0.015       0.669       0.000       0.000       0.000       0.000
   212     7    31  2009       1       1  field                  0.000       0.000       0.000       0.000       0.624       0.000       0.000       0.000       0.000
   212     7    31  2009       2       2  sat_buff               0.000       0.000       0.000       0.087       0.694       0.000       0.000       0.000       0.000
   243     8    31  2009       1       1  field                  0.052       0.152       0.009       0.281       0.619       0.000       0.000       0.001       0.000
   243     8    31  2009       2       2  sat_buff               1.244      11.229       1.492       0.318       0.716       0.001       0.000       0.000       0.000
   273     9    30  2009       1       1  field                  0.000       0.000       0.000       0.000       0.615       0.000       0.000       0.000       0.000
   273     9    30  2009       2       2  sat_buff               0.001       0.448       0.274       0.071       0.708       0.000       0.000       0.000       0.000
   304    10    31  2009       1       1  field                  0.000       0.000       0.000       0.000       0.575       0.000       0.000       0.000       0.000
   304    10    31  2009       2       2  sat_buff               0.000       0.000       0.000       0.180       0.749       0.000       0.000       0.000       0.000
   334    11    30  2009       1       1  field                  0.000       0.000       0.000       0.000       0.511       0.000       0.000       0.000       0.000
   334    11    30  2009       2       2  sat_buff               0.000       0.000       0.000       0.051       0.732       0.000       0.000       0.000       0.000
   365    12    31  2009       1       1  field                  0.001       0.003       0.000       0.142       0.487       0.000       0.000       0.000       0.000
   365    12    31  2009       2       2  sat_buff               0.058       0.130       0.053       0.031       0.689       0.000       0.000       0.000       0.000
    31     1    31  2010       1       1  field                  0.092       0.213       0.012       1.093       0.449       0.000       0.000       0.002       0.000
    31     1    31  2010       2       2  sat_buff               3.451       3.504       2.876       0.044       0.635       0.000       0.000       0.004       0.000
    59     2    28  2010       1       1  field                  0.008       0.016       0.001       0.317       0.380       0.000       0.000       0.000       0.000
    59     2    28  2010       2       2  sat_buff               0.370       0.163       4.461       0.000       0.562       0.000       0.000       0.000       0.000
    90     3    31  2010       1       1  field                  0.043       0.163       0.009       0.889       0.717       0.000       0.000       0.001       0.000
    90     3    31  2010       2       2  sat_buff               1.626       1.543       3.886       0.011       0.703       0.001       0.000       0.000       0.000
   120     4    30  2010       1       1  field                  0.000       0.000       0.000       0.000       0.785       0.000       0.000       0.000       0.000
   120     4    30  2010       2       2  sat_buff               0.001       0.001       1.268       0.015       0.715       0.000       0.000       0.000       0.000
   151     5    31  2010       1       1  field                  0.000       0.000       0.000       0.000       0.784       0.000       0.000       0.000       0.000
   151     5    31  2010       2       2  sat_buff               0.000       0.000       0.000       0.019       0.741       0.001       0.000       0.000       0.000
   181     6    30  2010       1       1  field                  0.000       0.000       0.000       0.000       0.713       0.000       0.000       0.000       0.000
   181     6    30  2010       2       2  sat_buff               0.000       0.000       0.000       0.026       0.722       0.001       0.000       0.000       0.000
   212     7    31  2010       1       1  field                  0.000       0.000       0.000       0.000       0.598       0.000       0.000       0.000       0.000
   212     7    31  2010       2       2  sat_buff               0.000       0.000       0.000       0.190       0.749       0.000       0.000       0.000       0.000
   243     8    31  2010       1       1  field                  0.000       0.000       0.000       0.000       0.535       0.000       0.000       0.000       0.000
   243     8    31  2010       2       2  sat_buff               0.000       0.000       0.000       0.106       0.767       0.000       0.000       0.000       0.000
   273     9    30  2010       1       1  field                  0.000       0.000       0.000       0.000       0.476       0.000       0.000       0.000       0.000
   273     9    30  2010       2       2  sat_buff               0.001       0.001       0.000       0.173       0.759       0.000       0.000       0.000       0.000
   304    10    31  2010       1       1  field                  0.000       0.000       0.000       0.000       0.453       0.000       0.000       0.000       0.000
   304    10    31  2010       2       2  sat_buff               0.000       0.000       0.000       0.041       0.799       0.000       0.000       0.000       0.000
   334    11    30  2010       1       1  field                  0.000       0.000       0.000       0.000       0.404       0.000       0.000       0.000       0.000
   334    11    30  2010       2       2  sat_buff               0.000       0.000       0.000       0.094       0.782       0.001       0.000       0.000       0.000
   365    12    31  2010       1       1  field                  0.025       0.048       0.003      10.516       0.385       0.000       0.000       0.000       0.000
   365    12    31  2010       2       2  sat_buff               0.981       1.069       0.049       0.023       0.712       0.000       0.000       0.006       0.000
    31     1    31  2011       1       1  field                  0.000       0.027       0.002       6.444       0.355       0.000       0.000       0.000       0.000
    31     1    31  2011       2       2  sat_buff               0.094       0.234       2.166       0.029       0.641       0.000       0.000       0.003       0.000
    59     2    28  2011       1       1  field                  0.155       0.298       0.017      13.162       0.341       0.000       0.000       0.003       0.000
    59     2    28  2011       2       2  sat_buff               5.800       5.112       8.835       0.330       0.563       0.000       0.000       0.000       0.000
    90     3    31  2011       1       1  field                  0.423       0.811       0.046       7.077       0.660       0.000       0.000       0.007       0.000
    90     3    31  2011       2       2  sat_buff              15.607      10.416      22.293       0.320       0.761       0.001       0.000       0.000       0.000
   120     4    30  2011       1       1  field                  0.020       0.038       0.002       0.126       0.757       0.000       0.000       0.000       0.003
   120     4    30  2011       2       2  sat_buff               1.184       3.553       2.794       0.261       0.757       0.001       0.000       0.000       0.000
   151     5    31  2011       1       1  field                  0.284       0.619       0.035       1.930       1.066       0.000       0.000       0.005       0.034
   151     5    31  2011       2       2  sat_buff              10.593      21.404       5.385       0.292       0.790       0.001       0.000       0.000       0.000
   181     6    30  2011       1       1  field                  0.000       0.000       0.000       0.000       1.072       0.000       0.000       0.000       0.009
   181     6    30  2011       2       2  sat_buff               0.012       5.714       4.663       0.078       0.764       0.000       0.000       0.000       0.000
   212     7    31  2011       1       1  field                  0.000       0.000       0.000       0.000       0.801       0.000       0.000       0.000       0.000
   212     7    31  2011       2       2  sat_buff               0.000       0.000       0.000       0.491       0.788       0.001       0.000       0.000       0.000
   243     8    31  2011       1       1  field                  0.000       0.000       0.000       0.000       0.688       0.000       0.000       0.000       0.000
   243     8    31  2011       2       2  sat_buff               0.000       0.000       0.000       0.507       0.803       0.000       0.000       0.000       0.000
   273     9    30  2011       1       1  field                  0.000       0.000       0.000       0.000       0.612       0.000       0.000       0.000       0.000
   273     9    30  2011       2       2  sat_buff               0.001       0.001       0.000       0.911       0.789       0.000       0.000       0.000       0.000
   304    10    31  2011       1       1  field                  0.020       0.036       0.002       0.151       0.585       0.000       0.000       0.000       0.000
   304    10    31  2011       2       2  sat_buff               0.828       2.025       0.175       0.673       0.829       0.000       0.000       0.006       0.000
   334    11    30  2011       1       1  field                  0.000       0.000       0.000       0.000       0.618       0.000       0.000       0.000       0.000
   334    11    30  2011       2       2  sat_buff               0.009       0.509       0.673       0.549       0.811       0.001       0.000       0.000       0.000
   365    12    31  2011       1       1  field                  0.123       0.321       0.018       3.656       1.208       0.000       0.000       0.003       0.000
   365    12    31  2011       2       2  sat_buff               4.150       5.075       3.293       0.663       0.855       0.001       0.000       0.027       0.000
