        jday         mon         day          yr name          type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           temp
          20           1          20        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          21           1          21        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          22           1          22        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          23           1          23        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          24           1          24        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          25           1          25        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          26           1          26        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          27           1          27        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          28           1          28        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          29           1          29        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          30           1          30        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          31           1          31        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          32           2           1        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          33           2           2        1988 hru71           hru        5.48762691E-05   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
