 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2001      34       1  aq_071200020607           0.217          4.894          0.319          0.104          1.204         10.683          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      35       1  aq_071200020608           0.254          4.888          0.335          0.285          1.385         10.646          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      36       1  aq_071200020609           0.217          4.897          0.309          2.443          3.443         10.783          0.001          0.000          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      37       1  aq_071200020610           0.254          4.873          0.380         47.664          7.290         51.685          0.005          0.000          0.000          0.000          0.145          0.000          0.000          0.134          0.000          0.000          0.000
   365    12    31  2001      38       1  aq_071200020701           0.217          4.883          0.351          0.000          1.200         10.583          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      39       1  aq_071200020702           0.178          4.902          0.294          0.574          1.234         11.163          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      40       1  aq_071200020703           0.178          4.898          0.306          2.611          1.966         12.468          0.000          0.000          0.000          0.000          0.006          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2001      41       1  aq_071200020704           0.254          4.883          0.350          0.000          1.220         10.525          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      42       1  aq_071200020705           0.254          4.882          0.353          0.000          1.250         10.496          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      43       1  aq_071200020706           0.217          4.891          0.326          0.945          1.200         11.528          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      44       1  aq_071200020707           0.254          4.832          0.504        249.801          7.627        253.920          0.106          0.000          0.000          0.000          0.330          0.000          0.000          0.123          0.000          0.000          0.000
   365    12    31  2001      45       1  aq_071200020708           0.254          4.884          0.347          7.796          4.928         14.614          0.002          0.000          0.000          0.000          0.004          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      46       1  aq_071200020709           0.217          4.891          0.326          1.556          2.140         11.199          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      47       1  aq_071200020710           0.217          4.898          0.305          7.491          5.021         14.253          0.002          0.000          0.000          0.000          0.004          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      48       1  aq_071200020711           0.217          4.883          0.352          2.060          2.391         11.452          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      49       1  aq_071200020801           0.254          4.875          0.375          0.567          1.767         10.546          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      50       1  aq_071200020802           0.217          4.892          0.324          0.000          1.100         10.683          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      51       1  aq_071200020803           0.254          4.875          0.374          0.000          1.200         10.546          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      52       1  aq_071200020804           0.217          4.900          0.299          0.081          1.120         10.745          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      53       1  aq_071200020805           0.217          4.899          0.302          0.000          1.050         10.733          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      54       1  aq_071200020806           0.217          4.891          0.326          2.125          2.661         11.247          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      55       1  aq_071200020807           0.178          4.899          0.302          4.315          3.912         12.226          0.000          0.000          0.000          0.000          0.003          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      56       1  aq_071200020808           0.254          4.895          0.316         12.660         10.234         14.172          0.002          0.000          0.000          0.000          0.007          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      57       1  aq_071200020901           0.254          4.879          0.363          0.000          1.300         10.446          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      58       1  aq_071200020902           0.254          4.882          0.354          0.306          1.506         10.546          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      59       1  aq_071200021001           0.324          4.876          0.373         12.863          6.154         18.384          0.002          0.000          0.000          0.000          0.003          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      60       1  aq_071200021002           0.266          4.863          0.412         34.422          7.716         38.440          0.005          0.000          0.000          0.000          0.010          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2001      61       1  aq_071200021101           0.254          4.875          0.376         15.062          9.711         17.097          0.003          0.000          0.000          0.000          0.006          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      62       1  aq_071200021102           0.256          4.796          0.613         57.887          7.823         61.638          0.004          0.000          0.000          0.000          0.015          0.000          0.000          0.011          0.000          0.000          0.000
   365    12    31  2001      63       1  aq_071200021201           0.217          4.889          0.332          6.362          5.999         12.146          0.001          0.000          0.000          0.000          0.003          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      64       1  aq_071200021202           0.254          4.889          0.332         26.022          8.080         29.687          0.005          0.000          0.000          0.000          0.009          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      65       1  aq_071200021301           0.326          4.764          0.707         68.581          9.943         70.312          0.008          0.000          0.000          0.000          0.024          0.000          0.000          0.008          0.000          0.000          0.000
   365    12    31  2001      66       1  aq_071200021302           0.261          4.842          0.475         33.367          5.057         40.049          0.006          0.000          0.000          0.000          0.009          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2001      67       1  aq_071200021303           1.996          4.633          1.186        106.092         12.391         96.628          0.013          0.000          0.000          0.000          0.046          0.000          0.002          0.033          0.000          0.000          0.000
   365    12    31  2001      68       1  aq_071200021304           6.887          4.779          0.785         74.955          3.105         76.963          0.008          0.000          0.000          0.000          0.021          0.000          0.005          0.006          0.000          0.000          0.000
   365    12    31  2001      69       1  aq_071200021305           0.217          4.893          0.322          6.568          6.021         12.330          0.001          0.000          0.000          0.000          0.002          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      70       1  aq_071200021306          36.682          4.101          3.858        136.988          8.137         71.494          0.004          0.000          0.000          0.000          0.044          0.000          0.019          0.002          0.000          0.000          0.000
   365    12    31  2001      71       1  aq_071200021307           0.439          4.699          0.902        110.999         12.480        110.080          0.009          0.000          0.000          0.000          0.038          0.000          0.000          0.031          0.000          0.000          0.000
   365    12    31  2001      72       1  aq_071200021308           0.254          4.872          0.385         27.880          9.612         30.013          0.005          0.000          0.000          0.000          0.008          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2001      73       1  aq_071200021401           1.899          4.654          1.037         46.469          4.251         38.052          0.001          0.000          0.000          0.000          0.023          0.000          0.002          0.003          0.000          0.000          0.000
   365    12    31  2001      74       1  aq_071200021402           0.217          4.897          0.310          0.002          1.052         10.733          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002       1       1  aq_071200020101        1071.629          2.428         39.545       1339.811         14.071        326.249          0.187          0.000          0.000          0.000          3.321          0.000          3.249          0.062          0.000          0.000          0.000
   365    12    31  2002       2       1  aq_071200020102         127.173          3.471          6.557        345.382         13.561        206.373          0.053          0.000          0.000          0.000          0.462          0.000          0.274          0.133          0.000          0.000          0.000
   365    12    31  2002       3       1  aq_071200020103           0.000          4.984          0.048         79.140         10.332         68.807          0.093          0.000          0.000          0.000          0.133          0.000          0.000          0.030          0.000          0.000          0.000
   365    12    31  2002       4       1  aq_071200020201           0.000          4.957          0.128         88.086         10.505         77.582          0.045          0.000          0.000          0.000          0.107          0.000          0.000          0.084          0.000          0.000          0.000
   365    12    31  2002       5       1  aq_071200020202           0.000          4.970          0.089         85.939         14.188         71.751          0.049          0.000          0.000          0.000          0.104          0.000          0.000          0.072          0.000          0.000          0.000
   365    12    31  2002       6       1  aq_071200020203           0.000          4.890          0.330        113.667         18.250         99.156          0.096          0.000          0.000          0.000          0.281          0.000          0.000          0.317          0.000          0.000          0.000
   365    12    31  2002       7       1  aq_071200020204           0.000          5.000          0.000          2.463          2.368          0.096          0.004          0.000          0.000          0.000          0.007          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002       8       1  aq_071200020205           0.000          4.996          0.012         39.078         10.902         28.176          0.032          0.000          0.000          0.000          0.055          0.000          0.000          0.028          0.000          0.000          0.000
   365    12    31  2002       9       1  aq_071200020206          29.971          4.435          2.238        264.600         17.559        217.070          0.055          0.000          0.000          0.000          0.287          0.000          0.106          0.181          0.000          0.000          0.000
   365    12    31  2002      10       1  aq_071200020301           3.407          4.623          1.152        177.979         17.908        158.000          0.090          0.000          0.000          0.000          0.276          0.000          0.014          0.104          0.000          0.000          0.000
   365    12    31  2002      11       1  aq_071200020302           0.041          4.773          0.680        110.666         12.361        101.537          0.049          0.000          0.000          0.000          0.171          0.000          0.000          0.174          0.000          0.000          0.000
   365    12    31  2002      12       1  aq_071200020303          67.514          4.416          3.151        229.694         12.943        149.237          0.061          0.000          0.000          0.000          0.245          0.000          0.106          0.114          0.000          0.000          0.000
   365    12    31  2002      13       1  aq_071200020304           0.000          4.998          0.007         22.175          9.481         12.694          0.024          0.000          0.000          0.000          0.044          0.000          0.000          0.008          0.000          0.000          0.000
   365    12    31  2002      14       1  aq_071200020305           0.000          4.999          0.003         35.820          8.190         27.623          0.012          0.000          0.000          0.000          0.095          0.000          0.000          0.096          0.000          0.000          0.000
   365    12    31  2002      15       1  aq_071200020401           0.089          4.920          0.239         93.123          9.449         81.333          0.059          0.000          0.000          0.000          0.098          0.000          0.000          0.056          0.000          0.000          0.000
   365    12    31  2002      16       1  aq_071200020402           0.000          5.000          0.000          4.859          0.703          4.156          0.023          0.000          0.000          0.000          0.009          0.000          0.000          0.009          0.000          0.000          0.000
   365    12    31  2002      17       1  aq_071200020403           0.000          4.998          0.006          7.019          0.804          6.215          0.004          0.000          0.000          0.000          0.005          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2002      18       1  aq_071200020404           0.000          4.997          0.009         93.554         13.080         80.474          0.290          0.000          0.000          0.000          0.465          0.000          0.000          0.018          0.000          0.000          0.000
   365    12    31  2002      19       1  aq_071200020405           0.758          4.838          0.487        126.585         10.481        115.347          0.204          0.000          0.000          0.000          0.411          0.000          0.008          0.138          0.000          0.000          0.000
   365    12    31  2002      20       1  aq_071200020501           0.000          4.944          0.168         64.583          8.169         56.414          0.028          0.000          0.000          0.000          0.070          0.000          0.000          0.033          0.000          0.000          0.000
   365    12    31  2002      21       1  aq_071200020502           0.000          4.996          0.011          8.264          0.691          7.572          0.016          0.000          0.000          0.000          0.006          0.000          0.000          0.001          0.000          0.000          0.000
   365    12    31  2002      22       1  aq_071200020503           0.000          4.974          0.079         78.853          7.945         70.908          0.062          0.000          0.000          0.000          0.243          0.000          0.000          0.154          0.000          0.000          0.000
   365    12    31  2002      23       1  aq_071200020504           0.000          5.000          0.000          0.015          0.015          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      24       1  aq_071200020505           0.000          5.000          0.000         15.900         11.623          4.278          0.032          0.000          0.000          0.000          0.087          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2002      25       1  aq_071200020506           0.000          5.000          0.000          4.717          4.717          0.000          0.030          0.000          0.000          0.000          0.019          0.000          0.000          0.000          0.000          0.000          0.000
