 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm 
   365    12    31  2003      16       1  main_16              0.4573E-01     0.1325E-05     0.4251E-01     0.1463E+01     0.3258E+05     0.3018E+05     0.1629E+05     0.0000E+00     0.8659E+04     0.0000E+00     0.7210E+03     0.1317E+05     0.3180E+02     0.1333E+01     0.1000E-02     0.0000E+00     0.7260E-02     0.7098E+00     0.2535E+04     0.7345E-01     0.2356E+04
   365    12    31  2003      17       1  main_17              0.4128E-02     0.3009E-05     0.7080E-02     0.1321E+00     0.1462E+03     0.1188E+05     0.7308E+02     0.0000E+00     0.3017E+01     0.1117E+05     0.3706E+03     0.2733E+03     0.1416E+02     0.8615E+00     0.1591E-02     0.1034E-01     0.3927E-02     0.5045E-01     0.1177E+03     0.8580E-01     0.2019E+03
   365    12    31  2003      18       1  main_18              0.2241E-02     0.1380E-05     0.2370E-02     0.7170E-01     0.6594E+02     0.4960E+03     0.3297E+02     0.0000E+00     0.4590E+01     0.1887E+03     0.3566E+01     0.2707E+03     0.1594E+02     0.8929E+00     0.1244E-02     0.2575E-02     0.6154E-03     0.4349E-01     0.1593E+03     0.9811E-01     0.1685E+03
   365    12    31  2003      19       1  main_19              0.7654E-01     0.4427E-04     0.7188E-01     0.2449E+01     0.6775E+05     0.5302E+05     0.3388E+05     0.0000E+00     0.2011E+05     0.0000E+00     0.1225E+04     0.1792E+05     0.3432E+02     0.1395E+01     0.1000E-02     0.0000E+00     0.1333E-01     0.8547E+00     0.2253E+04     0.1303E+01     0.2116E+04
   365    12    31  2003      20       1  main_20              0.2149E-02     0.4786E-05     0.2615E-02     0.6878E-01     0.8004E+02     0.1272E+04     0.4002E+02     0.0000E+00     0.3861E+01     0.1067E+04     0.2675E+02     0.1388E+03     0.1036E+02     0.7040E+00     0.1128E-02     0.4332E-02     0.1140E-02     0.4368E-01     0.1491E+03     0.3319E+00     0.1814E+03
   365    12    31  2003      21       1  main_21              0.2346E-02     0.1516E-05     0.4353E-02     0.7509E-01     0.6415E+02     0.2684E+03     0.3207E+02     0.0000E+00     0.6603E+01     0.0000E+00     0.3268E+02     0.2036E+03     0.1370E+02     0.8016E+00     0.1000E-02     0.0000E+00     0.5645E-03     0.4232E-01     0.1335E+03     0.8625E-01     0.2476E+03
   365    12    31  2003      22       1  main_22              0.5113E-01     0.1215E-05     0.4962E-01     0.1636E+01     0.3073E+05     0.3179E+05     0.1537E+05     0.0000E+00     0.4974E+04     0.0000E+00     0.1507E+04     0.1492E+05     0.3475E+02     0.1406E+01     0.1000E-02     0.0000E+00     0.7795E-02     0.6971E+00     0.3072E+04     0.7302E-01     0.2982E+04
   365    12    31  2003      23       1  main_23              0.2012E-02     0.1064E-05     0.4441E-02     0.6440E-01     0.6530E+02     0.5333E+04     0.3265E+02     0.0000E+00     0.1970E+01     0.5042E+04     0.1536E+03     0.1048E+03     0.1038E+02     0.7079E+00     0.1645E-02     0.5802E-02     0.1827E-02     0.3253E-01     0.1386E+03     0.7327E-01     0.3059E+03
   365    12    31  2003      24       1  main_24              0.5396E-02     0.1887E-05     0.6266E-02     0.1727E+00     0.1578E+03     0.5179E+03     0.7890E+02     0.0000E+00     0.2190E+02     0.0000E+00     0.6100E+02     0.3780E+03     0.1488E+02     0.8424E+00     0.1000E-02     0.0000E+00     0.1678E-02     0.6884E-01     0.2085E+03     0.7293E-01     0.2421E+03
   365    12    31  2003      25       1  main_25              0.8182E-02     0.1859E-05     0.8420E-02     0.2618E+00     0.5504E+04     0.4092E+04     0.2752E+04     0.0000E+00     0.2284E+04     0.4094E+03     0.5500E+02     0.8757E+03     0.1731E+02     0.9413E+00     0.1000E-02     0.1696E-02     0.2977E-02     0.1228E+00     0.3793E+03     0.8618E-01     0.3903E+03
   365    12    31  2003      26       1  main_26              0.8244E-01     0.4366E-04     0.7970E-01     0.2638E+01     0.5484E+05     0.5293E+05     0.2742E+05     0.0000E+00     0.8827E+04     0.0000E+00     0.5259E+03     0.2499E+05     0.3742E+02     0.1470E+01     0.1000E-02     0.0000E+00     0.1329E-01     0.1037E+01     0.8551E+04     0.4528E+01     0.8267E+04
   365    12    31  2003      27       1  main_27              0.6726E-01     0.8565E-06     0.6762E-01     0.2152E+01     0.3625E+05     0.3740E+05     0.1812E+05     0.0000E+00     0.6236E+04     0.0000E+00     0.9470E+03     0.1833E+05     0.3768E+02     0.1477E+01     0.1000E-02     0.0000E+00     0.1012E-01     0.7523E+00     0.5782E+04     0.7364E-01     0.5814E+04
   365    12    31  2003      28       1  main_28              0.1636E-02     0.1167E-05     0.3436E-02     0.5236E-01     0.5551E+02     0.1956E+04     0.2775E+02     0.0000E+00     0.3598E+01     0.1794E+04     0.3731E+02     0.9719E+02     0.1015E+02     0.6842E+00     0.1137E-02     0.2842E-02     0.6205E-03     0.3203E-01     0.1201E+03     0.8570E-01     0.2522E+03
   365    12    31  2003      29       1  main_29              0.2917E-02     0.1322E-05     0.4487E-02     0.9334E-01     0.1088E+03     0.5839E+04     0.5442E+02     0.0000E+00     0.2303E+01     0.5422E+04     0.1733E+03     0.1886E+03     0.1061E+02     0.7352E+00     0.1434E-02     0.8253E-02     0.2716E-02     0.5537E-01     0.1894E+03     0.8585E-01     0.2914E+03
