 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    365    12    31  2001     53       0  sub_071200020805       0.373       0.965       0.061       5.521       0.000       0.013       0.000       0.012       0.000
    365    12    31  2001     54       0  sub_071200020806       0.768       2.910       0.194       5.601       0.000       0.019       0.000       0.036       0.000
    365    12    31  2001     55       0  sub_071200020807       1.104       4.332       0.290       5.491       0.000       0.014       0.000       0.058       0.000
    365    12    31  2001     56       0  sub_071200020808       1.763       5.719       0.356       5.161       0.000       0.011       0.000       0.057       0.000
    365    12    31  2001     57       0  sub_071200020901       0.966       3.163       0.204       3.871       0.000       0.023       0.000       0.037       0.000
    365    12    31  2001     58       0  sub_071200020902       0.876       2.871       0.171       5.245       0.000       0.010       0.000       0.029       0.000
    365    12    31  2001     59       0  sub_071200021001       0.851       2.748       0.173       7.380       0.000       0.006       0.000       0.032       0.000
    365    12    31  2001     60       0  sub_071200021002       0.400       1.143       0.076       4.036       0.000       0.016       0.000       0.017       0.000
    365    12    31  2001     61       0  sub_071200021101       0.422       1.339       0.084       3.463       0.000       0.004       0.000       0.018       0.000
    365    12    31  2001     62       0  sub_071200021102       0.289       1.446       0.089       2.951       0.000       0.012       0.000       0.012       0.000
    365    12    31  2001     63       0  sub_071200021201       0.692       2.872       0.174       3.593       0.000       0.004       0.000       0.023       0.000
    365    12    31  2001     64       0  sub_071200021202       1.041       3.161       0.196       4.243       0.000       0.012       0.000       0.035       0.000
    365    12    31  2001     65       0  sub_071200021301       0.471       1.370       0.084       3.002       0.000       0.005       0.000       0.018       0.000
    365    12    31  2001     66       0  sub_071200021302       1.788       3.497       0.211       6.025       0.000       0.013       0.000       0.064       0.000
    365    12    31  2001     67       0  sub_071200021303       1.205       2.535       0.176       6.678       0.000       0.013       0.000       0.052       0.000
    365    12    31  2001     68       0  sub_071200021304       0.063       0.180       0.012       1.336       0.000       0.002       0.000       0.002       0.000
    365    12    31  2001     69       0  sub_071200021305       0.567       1.856       0.115       3.882       0.000       0.004       0.000       0.025       0.000
    365    12    31  2001     70       0  sub_071200021306       0.095       0.247       0.017       1.961       0.000       0.002       0.000       0.006       0.000
    365    12    31  2001     71       0  sub_071200021307       0.769       2.142       0.135       2.404       0.000       0.020       0.000       0.026       0.025
    365    12    31  2001     72       0  sub_071200021308       0.332       1.403       0.083       2.004       0.000       0.013       0.000       0.009       0.000
    365    12    31  2001     73       0  sub_071200021401       0.862       2.833       0.198       3.866       0.000       0.011       0.000       0.047       0.006
    365    12    31  2001     74       0  sub_071200021402       0.333       0.909       0.056       2.783       0.000       0.011       0.000       0.009       0.000
    365    12    31  2002      1       0  sub_071200020101       0.492       0.976       0.075       4.683       0.000       0.004       0.000       0.027       0.146
    365    12    31  2002      2       0  sub_071200020102       0.506       2.506       0.162       9.326       0.000       0.001       0.000       0.042       0.296
    365    12    31  2002      3       0  sub_071200020103       1.849       3.691       0.239      13.785       0.000       0.003       0.000       0.103       0.003
    365    12    31  2002      4       0  sub_071200020201       1.577       4.274       0.305       3.743       0.000       0.001       0.000       0.068       0.048
    365    12    31  2002      5       0  sub_071200020202       0.511       1.679       0.113       9.633       0.000       0.001       0.000       0.034       0.004
    365    12    31  2002      6       0  sub_071200020203       1.807       4.152       0.285       8.547       0.000       0.005       0.000       0.074       0.451
    365    12    31  2002      7       0  sub_071200020204       1.329       3.538       0.229       8.639       0.000       0.004       0.000       0.077       0.051
    365    12    31  2002      8       0  sub_071200020205       1.565       3.707       0.259       7.214       0.000       0.001       0.000       0.080       0.000
    365    12    31  2002      9       0  sub_071200020206       0.917       2.588       0.185       8.390       0.000       0.007       0.000       0.053       0.407
    365    12    31  2002     10       0  sub_071200020301       1.737       5.092       0.351       9.933       0.000       0.088       0.000       0.088       0.295
    365    12    31  2002     11       0  sub_071200020302       2.000       4.799       0.343       8.751       0.000       0.002       0.000       0.135       0.010
    365    12    31  2002     12       0  sub_071200020303       1.749       3.982       0.279      12.317       0.000       0.008       0.000       0.097       0.279
    365    12    31  2002     13       0  sub_071200020304       1.792       5.850       0.411      10.218       0.000       0.002       0.000       0.139       0.001
    365    12    31  2002     14       0  sub_071200020305       2.040       4.669       0.345       8.311       0.000       0.024       0.000       0.107       0.137
    365    12    31  2002     15       0  sub_071200020401       1.213       2.387       0.186       8.766       0.000       0.004       0.000       0.069       0.002
    365    12    31  2002     16       0  sub_071200020402       1.535       4.137       0.324       8.010       0.000       0.006       0.000       0.100       0.000
    365    12    31  2002     17       0  sub_071200020403       1.047       2.567       0.190       5.161       0.000       0.007       0.000       0.059       0.000
    365    12    31  2002     18       0  sub_071200020404       2.400       5.378       0.368      14.554       0.000       0.001       0.000       0.151       0.736
    365    12    31  2002     19       0  sub_071200020405       2.269       5.241       0.369       8.275       0.000       0.003       0.000       0.109       0.823
    365    12    31  2002     20       0  sub_071200020501       2.217       5.277       0.356       8.769       0.000       0.002       0.000       0.117       0.007
    365    12    31  2002     21       0  sub_071200020502       1.558       4.602       0.312      13.667       0.000       0.001       0.000       0.083       0.000
    365    12    31  2002     22       0  sub_071200020503       2.160       4.543       0.311       9.126       0.000       0.002       0.000       0.119       0.718
    365    12    31  2002     23       0  sub_071200020504       0.662       1.530       0.112       3.968       0.000       0.001       0.000       0.042       0.000
    365    12    31  2002     24       0  sub_071200020505       2.145       4.402       0.344       8.577       0.000       0.003       0.000       0.107       0.063
    365    12    31  2002     25       0  sub_071200020506       0.688       1.513       0.115       3.443       0.000       0.009       0.000       0.037       0.009
    365    12    31  2002     26       0  sub_071200020507       0.798       2.299       0.144       8.250       0.000       0.002       0.000       0.031       0.000
    365    12    31  2002     27       0  sub_071200020508       2.513       8.857       0.584      15.913       0.000       0.002       0.000       0.122       0.019
    365    12    31  2002     28       0  sub_071200020601       2.422       9.466       0.679       9.328       0.000       0.008       0.000       0.144       0.001
    365    12    31  2002     29       0  sub_071200020602       4.116      12.870       0.958      12.870       0.000       0.004       0.000       0.217       0.009
    365    12    31  2002     30       0  sub_071200020603       4.343      11.781       0.806      14.250       0.000       0.004       0.000       0.218       0.002
    365    12    31  2002     31       0  sub_071200020604       1.110       4.232       0.287       7.044       0.000       0.005       0.000       0.055       0.437
    365    12    31  2002     32       0  sub_071200020605       3.943      11.576       0.735      13.631       0.000       0.003       0.000       0.204       0.135
    365    12    31  2002     33       0  sub_071200020606       1.255       4.900       0.333       9.851       0.000       0.004       0.000       0.082       0.000
    365    12    31  2002     34       0  sub_071200020607       3.735      12.897       0.941      10.807       0.000       0.008       0.000       0.212       0.137
    365    12    31  2002     35       0  sub_071200020608       1.000       3.086       0.226       6.648       0.000       0.001       0.000       0.048       0.000
    365    12    31  2002     36       0  sub_071200020609       0.991       3.096       0.202       8.469       0.000       0.001       0.000       0.054       0.000
    365    12    31  2002     37       0  sub_071200020610       1.706       6.227       0.455       7.772       0.000       0.017       0.000       0.087       0.161
    365    12    31  2002     38       0  sub_071200020701       2.478       7.411       0.530       7.985       0.000       0.001       0.000       0.153       0.000
    365    12    31  2002     39       0  sub_071200020702       0.895       1.916       0.136       4.634       0.000       0.001       0.000       0.042       0.000
    365    12    31  2002     40       0  sub_071200020703       3.237       7.460       0.556       6.618       0.000       0.002       0.000       0.184       0.002
    365    12    31  2002     41       0  sub_071200020704       3.649       9.347       0.682       7.688       0.000       0.007       0.000       0.192       0.281
    365    12    31  2002     42       0  sub_071200020705       3.019       7.380       0.552      11.562       0.000       0.004       0.000       0.183       0.001
    365    12    31  2002     43       0  sub_071200020706       4.035      12.761       0.960      12.781       0.000       0.002       0.000       0.214       0.003
    365    12    31  2002     44       0  sub_071200020707       0.899       4.263       0.291       7.650       0.000       0.034       0.000       0.082       0.000
    365    12    31  2002     45       0  sub_071200020708       2.471      10.346       0.680      10.559       0.000       0.001       0.000       0.168       0.007
    365    12    31  2002     46       0  sub_071200020709       2.204       7.742       0.498      12.541       0.000       0.001       0.000       0.152       0.000
    365    12    31  2002     47       0  sub_071200020710       1.096       3.834       0.252      13.999       0.000       0.022       0.000       0.058       0.000
    365    12    31  2002     48       0  sub_071200020711       0.299       0.945       0.064       5.544       0.000       0.002       0.000       0.014       0.000
    365    12    31  2002     49       0  sub_071200020801       2.180       6.968       0.509       9.810       0.000       0.015       0.000       0.112       0.000
    365    12    31  2002     50       0  sub_071200020802       3.785      11.550       0.784      10.717       0.000       0.003       0.000       0.184       0.000
    365    12    31  2002     51       0  sub_071200020803       2.927       8.800       0.583      18.103       0.000       0.015       0.000       0.148       0.003
    365    12    31  2002     52       0  sub_071200020804       0.950       3.548       0.237       8.663       0.000       0.077       0.000       0.050       0.000
    365    12    31  2002     53       0  sub_071200020805       1.897       5.754       0.381       9.539       0.000       0.022       0.000       0.096       0.000
    365    12    31  2002     54       0  sub_071200020806       1.508       5.946       0.422       5.874       0.000       0.001       0.000       0.084       0.120
    365    12    31  2002     55       0  sub_071200020807       2.686      11.195       0.761      12.151       0.000       0.003       0.000       0.165       0.145
    365    12    31  2002     56       0  sub_071200020808       2.071       6.801       0.464      11.142       0.000       0.015       0.000       0.104       0.039
    365    12    31  2002     57       0  sub_071200020901       2.156       7.522       0.547       8.469       0.000       0.007       0.000       0.117       0.015
    365    12    31  2002     58       0  sub_071200020902       0.508       1.944       0.131       5.773       0.000       0.003       0.000       0.030       0.000
    365    12    31  2002     59       0  sub_071200021001       1.737       5.502       0.379      10.574       0.000       0.022       0.000       0.088       0.070
    365    12    31  2002     60       0  sub_071200021002       0.840       3.280       0.229       7.479       0.000       0.003       0.000       0.051       0.034
    365    12    31  2002     61       0  sub_071200021101       2.102       8.282       0.588       8.443       0.000       0.009       0.000       0.117       0.014
    365    12    31  2002     62       0  sub_071200021102       2.297      10.037       0.638      12.059       0.000       0.007       0.000       0.126       0.047
    365    12    31  2002     63       0  sub_071200021201       1.842       6.586       0.448       9.537       0.000       0.001       0.000       0.107       0.013
    365    12    31  2002     64       0  sub_071200021202       1.530       6.222       0.435       7.712       0.000       0.007       0.000       0.099       0.000
    365    12    31  2002     65       0  sub_071200021301       1.242       4.331       0.279      10.660       0.000       0.005       0.000       0.080       0.321
    365    12    31  2002     66       0  sub_071200021302       1.974       3.494       0.238      18.292       0.000       0.003       0.000       0.094       0.000
    365    12    31  2002     67       0  sub_071200021303       1.545       2.831       0.198       8.843       0.000       0.007       0.000       0.090       0.140
    365    12    31  2002     68       0  sub_071200021304       0.295       0.796       0.047       3.979       0.000       0.001       0.000       0.009       0.000
    365    12    31  2002     69       0  sub_071200021305       0.594       2.148       0.141       5.341       0.000       0.001       0.000       0.040       0.000
    365    12    31  2002     70       0  sub_071200021306       0.118       0.318       0.023       3.585       0.000       0.001       0.000       0.008       0.137
    365    12    31  2002     71       0  sub_071200021307       3.079       8.171       0.539       9.795       0.000       0.008       0.000       0.132       0.730
    365    12    31  2002     72       0  sub_071200021308       0.711       2.742       0.180       5.721       0.000       0.004       0.000       0.043       0.000
    365    12    31  2002     73       0  sub_071200021401       1.710       6.312       0.447       9.175       0.000       0.001       0.000       0.123       0.132
    365    12    31  2002     74       0  sub_071200021402       2.199       7.109       0.473      11.934       0.000       0.071       0.000       0.138       0.005
    365    12    31  2003      1       0  sub_071200020101       0.274       0.561       0.044       5.184       0.000       0.000       0.000       0.017       0.117
    365    12    31  2003      2       0  sub_071200020102       0.433       1.854       0.123       9.516       0.000       0.001       0.000       0.039       0.314
    365    12    31  2003      3       0  sub_071200020103       0.739       1.646       0.109      16.420       0.000       0.001       0.000       0.055       0.001
    365    12    31  2003      4       0  sub_071200020201       0.394       1.133       0.084       2.572       0.000       0.006       0.000       0.020       0.000
    365    12    31  2003      5       0  sub_071200020202       1.239       4.249       0.311       6.599       0.000       0.005       0.000       0.103       0.095
    365    12    31  2003      6       0  sub_071200020203       1.269       3.224       0.244      10.738       0.000       0.007       0.000       0.064       0.046
    365    12    31  2003      7       0  sub_071200020204       0.427       0.972       0.069       6.485       0.000       0.002       0.000       0.021       0.000
    365    12    31  2003      8       0  sub_071200020205       0.889       2.047       0.153       8.388       0.000       0.001       0.000       0.048       0.000
    365    12    31  2003      9       0  sub_071200020206       0.670       1.934       0.143       8.067       0.000       0.005       0.000       0.042       0.041
    365    12    31  2003     10       0  sub_071200020301       0.860       2.358       0.170       6.907       0.000       0.005       0.000       0.046       0.082
    365    12    31  2003     11       0  sub_071200020302       1.168       2.789       0.203      12.174       0.000       0.001       0.000       0.089       0.012
    365    12    31  2003     12       0  sub_071200020303       0.398       0.840       0.063       6.033       0.000       0.003       0.000       0.023       0.000
    365    12    31  2003     13       0  sub_071200020304       1.236       3.484       0.254       9.176       0.000       0.001       0.000       0.097       0.068
    365    12    31  2003     14       0  sub_071200020305       3.281       7.376       0.560      13.945       0.000       0.007       0.000       0.195       0.260
    365    12    31  2003     15       0  sub_071200020401       0.346       0.587       0.046       5.560       0.000       0.002       0.000       0.023       0.000
    365    12    31  2003     16       0  sub_071200020402       2.361       5.561       0.437      10.609       0.000       0.003       0.000       0.142       0.000
    365    12    31  2003     17       0  sub_071200020403       1.907       4.606       0.357       8.448       0.000       0.009       0.000       0.136       0.000
    365    12    31  2003     18       0  sub_071200020404       0.999       2.343       0.185       4.940       0.000       0.004       0.000       0.061       0.022
    365    12    31  2003     19       0  sub_071200020405       1.079       2.575       0.190       6.429       0.000       0.002       0.000       0.056       0.000
    365    12    31  2003     20       0  sub_071200020501       1.809       4.390       0.302      15.684       0.000       0.001       0.000       0.127       0.000
    365    12    31  2003     21       0  sub_071200020502       1.293       3.923       0.267      11.831       0.000       0.002       0.000       0.081       0.000
    365    12    31  2003     22       0  sub_071200020503       0.384       0.836       0.062       7.714       0.000       0.001       0.000       0.022       0.000
    365    12    31  2003     23       0  sub_071200020504       1.871       4.075       0.308       7.412       0.000       0.005       0.000       0.119       0.000
    365    12    31  2003     24       0  sub_071200020505       2.683       4.974       0.435       8.871       0.000       0.005       0.000       0.127       0.231
    365    12    31  2003     25       0  sub_071200020506       2.373       5.634       0.421       8.015       0.000       0.006       0.000       0.154       0.000
    365    12    31  2003     26       0  sub_071200020507       1.267       4.150       0.290      10.761       0.000       0.002       0.000       0.071       0.054
    365    12    31  2003     27       0  sub_071200020508       4.814      16.888       1.161      27.911       0.000       0.007       0.000       0.135       0.043
    365    12    31  2003     28       0  sub_071200020601       0.790       2.986       0.212       5.805       0.000       0.001       0.000       0.052       0.000
    365    12    31  2003     29       0  sub_071200020602       1.375       4.386       0.332      10.082       0.000       0.002       0.000       0.091       0.000
    365    12    31  2003     30       0  sub_071200020603       2.634       7.601       0.545      10.987       0.000       0.004       0.000       0.157       0.000
    365    12    31  2003     31       0  sub_071200020604       2.740      10.567       0.743      10.568       0.000       0.008       0.000       0.131       0.423
    365    12    31  2003     32       0  sub_071200020605       0.786       2.342       0.172      10.812       0.000       0.020       0.000       0.043       0.000
    365    12    31  2003     33       0  sub_071200020606       0.574       2.147       0.147       5.438       0.000       0.007       0.000       0.040       0.000
    365    12    31  2003     34       0  sub_071200020607       1.734       5.698       0.440      11.364       0.000       0.009       0.000       0.102       0.077
    365    12    31  2003     35       0  sub_071200020608       1.148       3.696       0.263      10.614       0.000       0.011       0.000       0.085       0.000
    365    12    31  2003     36       0  sub_071200020609       3.322      10.801       0.721      14.371       0.000       0.005       0.000       0.252       0.009
    365    12    31  2003     37       0  sub_071200020610       1.627       6.444       0.480       9.154       0.000       0.002       0.000       0.101       0.000
    365    12    31  2003     38       0  sub_071200020701       3.370       9.347       0.672      10.283       0.000       0.004       0.000       0.231       0.008
    365    12    31  2003     39       0  sub_071200020702       2.728       6.385       0.414      12.158       0.000       0.003       0.000       0.174       0.000
    365    12    31  2003     40       0  sub_071200020703       1.647       3.850       0.298       8.811       0.000       0.001       0.000       0.106       0.001
    365    12    31  2003     41       0  sub_071200020704       2.562       7.232       0.595      10.407       0.000       0.004       0.000       0.171       0.279
    365    12    31  2003     42       0  sub_071200020705       3.313       8.567       0.677      10.564       0.000       0.002       0.000       0.224       0.005
    365    12    31  2003     43       0  sub_071200020706       1.247       3.669       0.282       8.063       0.000       0.031       0.000       0.073       0.000
    365    12    31  2003     44       0  sub_071200020707       0.615       2.218       0.152       6.973       0.000       0.010       0.000       0.048       0.000
    365    12    31  2003     45       0  sub_071200020708       3.136      11.577       0.796      12.650       0.000       0.007       0.000       0.209       1.598
    365    12    31  2003     46       0  sub_071200020709       1.203       4.143       0.284       8.190       0.000       0.000       0.000       0.085       0.001
    365    12    31  2003     47       0  sub_071200020710       0.342       1.151       0.071      14.709       0.000       0.001       0.000       0.024       0.000
    365    12    31  2003     48       0  sub_071200020711       0.830       2.799       0.187      13.021       0.000       0.002       0.000       0.051       0.000
    365    12    31  2003     49       0  sub_071200020801       1.886       7.179       0.524      12.668       0.000       0.017       0.000       0.132       0.000
    365    12    31  2003     50       0  sub_071200020802       4.107      12.675       0.873      15.825       0.000       0.014       0.000       0.266       0.005
    365    12    31  2003     51       0  sub_071200020803       2.316       7.448       0.555      13.678       0.000       0.022       0.000       0.135       0.001
    365    12    31  2003     52       0  sub_071200020804       1.868       7.131       0.447       9.114       0.000       0.001       0.000       0.131       0.000
    365    12    31  2003     53       0  sub_071200020805       2.030       6.124       0.403      11.167       0.000       0.002       0.000       0.124       0.095
    365    12    31  2003     54       0  sub_071200020806       2.315       9.351       0.669      10.621       0.000       0.002       0.000       0.155       0.752
    365    12    31  2003     55       0  sub_071200020807       1.932       7.959       0.554      10.535       0.000       0.002       0.000       0.137       0.038
    365    12    31  2003     56       0  sub_071200020808       1.955       6.842       0.474      12.837       0.000       0.002       0.000       0.126       0.062
    365    12    31  2003     57       0  sub_071200020901       2.868       9.577       0.725      10.165       0.000       0.007       0.000       0.167       0.113
    365    12    31  2003     58       0  sub_071200020902       3.082      11.144       0.749      13.008       0.000       0.005       0.000       0.199       0.510
    365    12    31  2003     59       0  sub_071200021001       2.451       6.914       0.471      12.161       0.000       0.001       0.000       0.124       0.228
    365    12    31  2003     60       0  sub_071200021002       0.986       3.304       0.229      12.626       0.000       0.001       0.000       0.069       0.445
    365    12    31  2003     61       0  sub_071200021101       0.451       1.583       0.116       3.031       0.000       0.001       0.000       0.030       0.000
    365    12    31  2003     62       0  sub_071200021102       0.653       2.714       0.182       6.944       0.000       0.002       0.000       0.039       0.060
    365    12    31  2003     63       0  sub_071200021201       0.639       2.463       0.169       7.620       0.000       0.006       0.000       0.040       0.000
    365    12    31  2003     64       0  sub_071200021202       1.239       4.265       0.301       5.314       0.000       0.024       0.000       0.079       0.000
    365    12    31  2003     65       0  sub_071200021301       0.723       2.486       0.168      10.857       0.000       0.004       0.000       0.049       0.016
    365    12    31  2003     66       0  sub_071200021302       4.090       7.132       0.514      21.955       0.000       0.004       0.000       0.239       0.114
    365    12    31  2003     67       0  sub_071200021303       1.308       2.656       0.212       8.130       0.000       0.001       0.000       0.091       0.003
    365    12    31  2003     68       0  sub_071200021304       0.209       0.550       0.034       5.022       0.000       0.001       0.000       0.008       0.144
    365    12    31  2003     69       0  sub_071200021305       2.786      10.065       0.662      15.199       0.000       0.008       0.000       0.205       0.038
    365    12    31  2003     70       0  sub_071200021306       0.120       0.321       0.024       4.920       0.000       0.001       0.000       0.008       0.192
    365    12    31  2003     71       0  sub_071200021307       1.586       4.764       0.339       5.713       0.000       0.002       0.000       0.064       0.324
    365    12    31  2003     72       0  sub_071200021308       1.003       4.310       0.285       7.562       0.000       0.013       0.000       0.077       0.068
    365    12    31  2003     73       0  sub_071200021401       1.247       3.857       0.275       9.080       0.000       0.002       0.000       0.087       0.135
    365    12    31  2003     74       0  sub_071200021402       0.966       3.042       0.201       6.326       0.000       0.001       0.000       0.065       0.014
