 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
    365    12    31  2001     29       0  sub_071200020602       1.395    6772.708    8974.960     323.709       9.434      15.446       0.000      15.038       5.440       0.109       0.339       0.000       0.000      15.970       4.587      10.278      14.600       0.000       0.000       0.451
    365    12    31  2001     30       0  sub_071200020603       1.283    5778.440    6571.135     348.229       8.816      48.706       0.000      10.278       6.353       0.130       0.282       0.000       0.000      16.044       4.544      10.294      14.600       0.000       0.000       0.460
    365    12    31  2001     31       0  sub_071200020604       3.160   15747.921    7717.502     560.016      18.827      23.212       0.000     108.978     156.551       0.102       0.340       0.099       0.000      32.121      10.546      21.333      29.199       0.000       0.000       0.911
    365    12    31  2001     32       0  sub_071200020605       1.260    4437.892    5955.541     292.356       9.267      39.872       0.000       7.282       2.365       0.091       0.261       0.000       0.000      16.358       5.314      10.836      14.600       0.000       0.000       0.463
    365    12    31  2001     33       0  sub_071200020606       1.269    5196.670    6899.287     227.121       9.514      31.314       0.000       7.037       1.126       0.305       0.290       0.000       0.000      16.475       5.268      10.872      14.600       0.000       0.000       0.461
    365    12    31  2001     34       0  sub_071200020607       3.225   20605.682    9326.895     263.168      20.150      16.831       0.000     117.986     140.329       0.093       0.466       0.000       0.000      32.146      10.981      21.564      29.199       0.000       0.000       0.916
    365    12    31  2001     35       0  sub_071200020608       3.200   18353.711    9084.627     574.638      19.930       5.258       0.000     124.937     150.595       0.627       0.409       0.001       0.000      32.215       9.993      21.104      29.199       0.000       0.000       0.899
    365    12    31  2001     36       0  sub_071200020609       3.167   16719.080    5324.354     555.722      18.563     114.747       0.000     106.366      97.896       0.018       0.392       0.031       0.000      32.646      10.499      21.573      29.199       0.000       0.000       0.923
    365    12    31  2001     37       0  sub_071200020610       3.341   27879.814    9838.634     696.339      18.817       0.895       0.000     125.938      55.695       0.069       0.679       1.517       0.000      30.660       8.339      19.500      29.199       0.000       0.000       0.899
    365    12    31  2001     38       0  sub_071200020701       1.303    6362.487    9371.957     248.982       9.301      14.038       0.000       9.448       3.618       0.094       0.358       0.000       0.000      16.039       4.877      10.458      13.659       0.000       0.000       0.460
    365    12    31  2001     39       0  sub_071200020702       1.284    5787.216    7460.465     249.346       9.224      32.713       0.000       9.948       6.545       0.078       0.301       0.001       0.000      16.140       5.005      10.572      13.659       0.000       0.000       0.456
    365    12    31  2001     40       0  sub_071200020703       1.276    6260.385    8968.079     346.883       8.105      38.214       0.000      10.427       2.994       0.055       0.330       0.028       0.000      15.614       4.374       9.994      14.600       0.000       0.000       0.458
    365    12    31  2001     41       0  sub_071200020704       1.244    5665.500    8093.417     249.569       8.491      39.417       0.000       9.670       3.011       0.087       0.306       0.000       0.000      16.054       4.435      10.245      14.600       0.000       0.000       0.460
    365    12    31  2001     42       0  sub_071200020705       3.120   20970.521    6203.758     415.030      18.581     114.064       0.000     106.948      24.727       0.073       0.513       0.000       0.000      32.480       9.841      21.160      29.199       0.000       0.000       0.917
    365    12    31  2001     43       0  sub_071200020706       3.269   20635.879   10271.875     582.173      17.923      19.219       0.000     115.489     131.226       0.047       0.447       0.031       0.000      31.464       9.032      20.248      29.199       0.000       0.000       0.906
    365    12    31  2001     44       0  sub_071200020707       3.305   31007.244    8176.155     756.194      19.538      18.940       0.000     116.822      17.559       1.094       0.667       1.232       0.000      31.611       9.005      20.308      29.199       0.000       0.000       0.906
    365    12    31  2001     45       0  sub_071200020708       2.975   12661.722    4374.279     555.745      15.909     159.653       0.000     108.191      84.813       0.010       0.350       0.090       0.000      31.708       7.836      19.772      29.199       0.000       0.000       0.908
