 ceap_07120002             SWAT+ Jun 17  2020    MODULAR Rev 2020.60.4                                    
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2003      49    wwht                     3112.973    1400.838      77.824       6.849
   365    12    31  2003      49    soyb                     1796.065     808.229      77.495      13.830
   365    12    31  2003      50    corn                    12992.477    5846.614     227.368      32.481
   365    12    31  2003      50    soyb                     4137.375    1861.819     117.271      31.858
   365    12    31  2003      51    corn                    11206.805    5043.062     196.119      28.017
   365    12    31  2003      52    corn                    13211.457    5945.156     231.201      33.029
   365    12    31  2003      52    soyb                     4269.495    1921.273     159.172      32.875
   365    12    31  2003      53    soyb                     2546.929    1146.118      77.209      19.611
   365    12    31  2003      53    corn                    10777.223    4849.750     188.601      26.943
   365    12    31  2003      54    soyb                     2547.840    1146.528      77.197      19.618
   365    12    31  2003      54    corn                    10849.115    4882.102     189.860      27.123
   365    12    31  2003      55    soyb                     2659.191    1196.636      51.155      20.476
   365    12    31  2003      55    corn                    11040.172    4968.077     193.203      27.600
   365    12    31  2003      56    soyb                     3139.836    1412.926     126.264      24.177
   365    12    31  2003      56    corn                    13142.475    5914.113     229.993      32.856
   365    12    31  2003      57    soyb                     2658.653    1196.394      51.110      20.472
   365    12    31  2003      57    corn                    10883.683    4897.657     190.464      27.209
   365    12    31  2003      58    soyb                     3244.305    1459.937      86.648      24.981
   365    12    31  2003      58    corn                    12903.027    5806.362     225.803      32.258
   365    12    31  2003      59    soyb                     3120.296    1404.133     125.689      24.026
   365    12    31  2003      59    corn                    13087.563    5889.403     229.032      32.719
   365    12    31  2003      60    soyb                     3919.894    1763.952      91.178      30.183
   365    12    31  2003      60    corn                    14148.111    6366.650     247.592      35.370
   365    12    31  2003      61    soyb                     3120.296    1404.133     125.689      24.026
   365    12    31  2003      61    corn                    13087.563    5889.403     229.032      32.719
   365    12    31  2003      62    corn                    11843.030    5329.363     207.253      29.608
   365    12    31  2003      62    wwht                     2927.867    1317.540      73.197       6.441
   365    12    31  2003      62    soyb                     1734.855     780.685      93.145      13.358
   365    12    31  2003      63    corn                     9950.417    4477.688     174.132      24.876
   365    12    31  2003      63    wwht                     2927.942    1317.574      73.199       6.441
   365    12    31  2003      63    soyb                     1185.479     533.466      66.078       9.128
   365    12    31  2003      64    corn                    12054.141    5424.363     210.947      30.135
   365    12    31  2003      64    soyb                     3940.183    1773.082     147.106      30.339
   365    12    31  2003      65    corn                    10168.448    4575.802     177.948      25.421
   365    12    31  2003      65    soyb                     2603.506    1171.578      97.130      20.047
   365    12    31  2003      66    soyb                     2546.766    1146.045      77.148      19.610
   365    12    31  2003      66    corn                    10756.794    4840.558     188.244      26.892
   365    12    31  2003      67    corn                    13009.055    5854.074     227.658      32.523
   365    12    31  2003      68    corn                     9511.740    4280.283     166.455      23.779
   365    12    31  2003      68    soyb                     2854.074    1284.333     106.614      21.976
   365    12    31  2003      69    corn                    12945.632    5825.534     226.549      32.364
   365    12    31  2003      70    corn                    10888.137    4899.661     190.542      27.220
   365    12    31  2003      70    soyb                     3387.922    1524.565     112.227      26.087
   365    12    31  2003      71    corn                    10438.344    4697.254     182.671      26.096
   365    12    31  2003      72    soyb                     3261.235    1467.556      48.805      25.112
   365    12    31  2003      72    corn                    11731.303    5279.086     205.298      29.328
   365    12    31  2003      73    soyb                     3068.983    1381.042      46.107      23.631
   365    12    31  2003      73    corn                    11060.938    4977.422     193.566      27.652
   365    12    31  2003      74    soyb                     2544.966    1145.235      56.546      19.596
   365    12    31  2003      74    corn                    10770.199    4846.590     188.478      26.925
   365    12    31  2003      75    soyb                     2545.812    1145.615      56.538      19.603
   365    12    31  2003      75    corn                    10773.646    4848.140     188.539      26.934
   365    12    31  2003      76    soyb                     3224.953    1451.229      65.394      24.832
   365    12    31  2003      76    corn                    12484.533    5618.040     218.479      31.211
   365    12    31  2003      77    soyb                     2546.896    1146.103      77.147      19.611
   365    12    31  2003      77    corn                    10757.430    4840.843     188.255      26.894
   365    12    31  2003      78    soyb                     2546.887    1146.099      77.212      19.611
   365    12    31  2003      78    corn                    10790.405    4855.682     188.832      26.976
   365    12    31  2003      79    soyb                     3291.658    1481.246      86.684      25.346
   365    12    31  2003      79    corn                    12849.490    5782.271     224.866      32.124
   365    12    31  2003      80    soyb                     2542.698    1144.214      77.180      19.579
   365    12    31  2003      80    corn                    10618.021    4778.110     185.815      26.545
   365    12    31  2003      81    soyb                     3120.365    1404.164     125.684      24.027
   365    12    31  2003      81    corn                    13025.230    5861.354     227.942      32.563
   365    12    31  2003      82    corn                     9514.879    4281.695     166.510      23.787
   365    12    31  2003      82    soyb                     2857.562    1285.903     106.742      22.003
   365    12    31  2003      83    corn                    14518.540    6533.342     254.074      36.296
   365    12    31  2003      84    corn                    12441.565    5598.704     217.727      31.104
   365    12    31  2003      85    corn                    11002.803    4951.261     192.549      27.507
   365    12    31  2003      85    soyb                     3464.722    1559.125     129.439      26.678
   365    12    31  2003      86    corn                    11002.785    4951.253     192.549      27.507
   365    12    31  2003      86    soyb                     3464.695    1559.113     129.438      26.678
   365    12    31  2003      87    corn                    11600.301    5220.135     179.526      29.001
   365    12    31  2003      87    soyb                     3631.303    1634.087      74.063      27.961
   365    12    31  2003      88    corn                    10194.251    4587.413     178.399      25.486
   365    12    31  2003      88    soyb                     2643.983    1189.792      98.646      20.359
   365    12    31  2003      89    corn                    13193.967    5937.285     230.894      32.985
   365    12    31  2003      89    soyb                     4270.398    1921.679     159.326      32.882
   365    12    31  2003      90    corn                    11002.771    4951.247     192.548      27.507
   365    12    31  2003      90    soyb                     3464.674    1559.103     129.437      26.678
   365    12    31  2003      91    corn                    11203.050    5041.372     196.053      28.008
   365    12    31  2003      92    corn                    10726.654    4826.994     187.716      26.817
   365    12    31  2003      92    soyb                     3362.137    1512.962     113.228      25.888
   365    12    31  2003      93    corn                    11002.840    4951.278     192.550      27.507
   365    12    31  2003      93    soyb                     3464.778    1559.150     129.441      26.679
   365    12    31  2003      94    corn                     9815.408    4416.934     171.770      24.539
   365    12    31  2003      94    soyb                     2605.521    1172.484      97.278      20.063
   365    12    31  2003      95    corn                    11567.963    5205.583     202.439      28.920
   365    12    31  2003      95    soyb                     3634.884    1635.698      97.252      27.989
   365    12    31  2003      96    corn                    10185.787    4583.604     178.251      25.464
   365    12    31  2003      96    soyb                     2643.891    1189.751      98.643      20.358
   365    12    31  2003      97    corn                    13218.323    5948.245     231.321      33.046
   365    12    31  2003      97    soyb                     4269.458    1921.256     159.171      32.875
   365    12    31  2003      98    corn                    11583.891    5212.751     202.718      28.960
   365    12    31  2003      98    soyb                     3513.823    1581.220     131.161      27.056
   365    12    31  2003      99    corn                    11702.264    5266.019     204.790      29.256
   365    12    31  2003      99    soyb                     3631.946    1634.376      74.166      27.966
   365    12    31  2003     100    corn                    10886.711    4899.020     190.517      27.217
   365    12    31  2003     100    soyb                     3387.299    1524.284     112.241      26.082
   365    12    31  2003     101    corn                    10863.767    4888.695     174.552      27.159
   365    12    31  2003     101    soyb                     3380.661    1521.297      78.366      26.031
   365    12    31  2003     102    soyb                     3120.257    1404.116     125.687      24.026
   365    12    31  2003     102    corn                    13023.469    5860.561     227.911      32.559
   365    12    31  2003     103    soyb                     2546.850    1146.082      77.214      19.611
   365    12    31  2003     103    corn                    10699.271    4814.672     187.237      26.748
   365    12    31  2003     104    soyb                     3280.331    1476.149      65.642      25.259
   365    12    31  2003     104    corn                    12289.063    5530.079     215.059      30.723
   365    12    31  2003     105    corn                    11205.200    5042.340     196.091      28.013
   365    12    31  2003     106    corn                    10159.266    4571.669     177.787      25.398
   365    12    31  2003     106    soyb                     3043.367    1369.515      90.712      23.434
   365    12    31  2003     107    corn                    10874.523    4893.536     190.304      27.186
   365    12    31  2003     107    soyb                     3380.943    1521.424     112.387      26.033
   365    12    31  2003     108    corn                     9529.964    4288.484     166.774      23.825
   365    12    31  2003     109    corn                    11002.848    4951.281     192.550      27.507
   365    12    31  2003     109    soyb                     3464.789    1559.155     129.441      26.679
   365    12    31  2003     110    corn                    11002.871    4951.292     192.550      27.507
   365    12    31  2003     110    soyb                     3464.825    1559.171     129.443      26.679
   365    12    31  2003     111    corn                    11373.801    5118.210     199.042      28.434
   365    12    31  2003     112    corn                    12193.879    5487.246     213.393      30.485
   365    12    31  2003     113    corn                    13980.513    6291.230     244.659      34.951
   365    12    31  2003     113    soyb                     4162.548    1873.146     147.401      32.052
   365    12    31  2003     114    csil                    17348.051    7806.623     242.873      27.757
   365    12    31  2003     114    soyb                     3813.928    1716.268     157.177      29.367
   365    12    31  2003     115    soyb                     2916.889    1312.600      80.697      22.460
   365    12    31  2003     115    corn                    13858.638    6236.387     242.526      34.647
   365    12    31  2003     116    corn                    14850.828    6682.873     259.889      37.127
   365    12    31  2003     117    corn                    10116.950    4552.627     177.047      25.292
   365    12    31  2003     118    corn                    12077.122    5434.705     211.350      30.193
   365    12    31  2003     118    soyb                     4046.865    1821.089     150.903      31.161
   365    12    31  2003     119    corn                    12797.825    5759.021     223.962      31.995
   365    12    31  2003     120    corn                    11724.234    5275.905     205.174      29.311
   365    12    31  2003     120    soyb                     3959.819    1781.919     147.873      30.491
   365    12    31  2003     121    corn                    11713.324    5270.996     204.983      29.283
   365    12    31  2003     121    soyb                     3928.969    1768.036     146.768      30.253
   365    12    31  2003     122    corn                     9935.746    4471.085     173.876      24.839
   365    12    31  2003     122    soyb                     2638.897    1187.504      98.528      20.320
   365    12    31  2003     123    corn                    11776.527    5299.437     206.089      29.441
   365    12    31  2003     123    soyb                     3954.357    1779.460     147.665      30.449
   365    12    31  2003     124    soyb                     3431.602    1544.221     146.704      26.423
   365    12    31  2003     124    corn                    13488.069    6069.631     236.041      33.720
   365    12    31  2003     125    corn                    10529.687    4738.359     184.270      26.324
   365    12    31  2003     126    soyb                     2543.865    1144.739      56.542      19.588
   365    12    31  2003     126    corn                    10765.638    4844.537     188.399      26.914
   365    12    31  2003     127    soyb                     2917.112    1312.700      80.680      22.462
   365    12    31  2003     127    corn                    13841.341    6228.604     242.223      34.603
   365    12    31  2003     128    soyb                     2510.129    1129.558      77.038      19.328
   365    12    31  2003     128    corn                    10698.669    4814.401     187.227      26.747
   365    12    31  2003     129    soyb                     3022.446    1360.101      68.217      23.273
   365    12    31  2003     129    corn                    12060.504    5427.227     211.059      30.151
   365    12    31  2003     130    soyb                     2926.440    1316.898      80.727      22.534
   365    12    31  2003     130    corn                    13884.226    6247.901     242.974      34.711
   365    12    31  2003     131    soyb                     2221.335     999.601      40.024      17.104
   365    12    31  2003     131    corn                     9825.777    4421.600     171.951      24.564
   365    12    31  2003     132    soyb                     3551.765    1598.294     125.006      27.349
   365    12    31  2003     132    corn                    15002.314    6751.042     262.540      37.506
   365    12    31  2003     133    soyb                     3068.820    1380.969      46.134      23.630
   365    12    31  2003     133    corn                    11858.242    5336.209     207.519      29.646
   365    12    31  2003     134    soyb                     3556.151    1600.268     125.026      27.382
   365    12    31  2003     134    corn                    15001.438    6750.647     262.525      37.504
   365    12    31  2003     135    corn                    13095.963    5893.184     229.179      32.740
   365    12    31  2003     135    soyb                     3739.755    1682.890      87.408      28.796
   365    12    31  2003     136    corn                    13821.161    6219.523     241.870      34.553
   365    12    31  2003     137    corn                    13193.967    5937.285     230.894      32.985
   365    12    31  2003     137    soyb                     4270.398    1921.679     159.326      32.882
   365    12    31  2003     138    corn                    13218.323    5948.245     231.321      33.046
   365    12    31  2003     138    soyb                     4269.458    1921.256     159.171      32.875
   365    12    31  2003     139    corn                    12884.738    5798.132     225.483      32.212
   365    12    31  2003     139    soyb                     4137.355    1861.810     117.312      31.858
   365    12    31  2003     140    corn                    11209.526    5044.287     196.167      28.024
   365    12    31  2003     141    corn                    13068.632    5880.884     228.701      32.672
   365    12    31  2003     141    soyb                     4134.646    1860.591     115.984      31.837
   365    12    31  2003     142    csil                    13923.661    6265.648     194.931      22.278
   365    12    31  2003     143    corn                    13451.968    6053.385     235.409      33.630
   365    12    31  2003     144    corn                    12929.441    5818.249     226.265      32.324
   365    12    31  2003     145    corn                     9811.857    4415.336     171.708      24.530
   365    12    31  2003     145    soyb                     2605.520    1172.484      97.278      20.063
   365    12    31  2003     146    soyb                     3104.656    1397.095      85.732      23.906
   365    12    31  2003     146    corn                    12695.936    5713.170     222.179      31.740
   365    12    31  2003     147    soyb                     3120.281    1404.126     125.690      24.026
   365    12    31  2003     147    corn                    13087.257    5889.265     229.027      32.718
   365    12    31  2003     148    soyb                     3120.274    1404.123     125.698      24.026
   365    12    31  2003     148    corn                    13086.865    5889.089     229.020      32.717
   365    12    31  2003     149    soyb                     3544.218    1594.898     124.988      27.290
   365    12    31  2003     149    corn                    14829.854    6673.434     259.522      37.075
   365    12    31  2003     150    soyb                     2510.121    1129.554      77.044      19.328
   365    12    31  2003     150    corn                    10698.693    4814.412     187.227      26.747
   365    12    31  2003     151    soyb                     3551.287    1598.079     124.997      27.345
   365    12    31  2003     151    corn                    15002.341    6751.053     262.541      37.506
   365    12    31  2003     152    soyb                     3292.083    1481.437      86.714      25.349
   365    12    31  2003     152    corn                    12960.891    5832.400     226.816      32.402
   365    12    31  2003     153    corn                    14033.674    6315.153     245.589      35.084
   365    12    31  2003     153    soyb                     4143.123    1864.405     109.564      31.902
   365    12    31  2003     154    corn                    10153.444    4569.050     177.685      25.384
   365    12    31  2003     155    corn                    12012.733    5405.730     210.223      30.032
   365    12    31  2003     156    corn                     9515.460    4281.957     166.521      23.789
   365    12    31  2003     156    soyb                     2859.005    1286.552     106.816      22.014
   365    12    31  2003     157    corn                    11002.871    4951.292     192.550      27.507
   365    12    31  2003     157    soyb                     3464.825    1559.171     129.443      26.679
   365    12    31  2003     158    corn                    12096.638    5443.487     211.691      30.242
   365    12    31  2003     159    corn                    13651.230    6143.053     238.897      34.128
   365    12    31  2003     160    corn                    12849.148    5782.117     224.860      32.123
   365    12    31  2003     161    corn                    10373.214    4667.946     181.531      25.933
   365    12    31  2003     162    corn                     9687.474    4359.363     169.531      24.219
   365    12    31  2003     163    corn                    10153.533    4569.090     177.687      25.384
   365    12    31  2003     163    soyb                     3043.055    1369.375      90.727      23.432
   365    12    31  2003     164    corn                    11002.645    4951.190     192.546      27.507
   365    12    31  2003     164    soyb                     3464.488    1559.019     129.431      26.677
   365    12    31  2003     165    corn                    10185.066    4583.280     178.239      25.463
   365    12    31  2003     165    soyb                     2643.878    1189.745      98.642      20.358
   365    12    31  2003     166    corn                     9964.319    4483.943     174.376      24.911
   365    12    31  2003     167    soyb                     2592.010    1166.405     115.072      19.958
   365    12    31  2003     167    corn                    11190.912    5035.910     195.841      27.977
   365    12    31  2003     168    corn                    10116.950    4552.627     177.047      25.292
   365    12    31  2003     169    corn                    11381.536    5121.691     199.177      28.454
   365    12    31  2003     170    corn                    11336.906    5101.607     198.396      28.342
   365    12    31  2003     171    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2003     172    frsd                        0.000       0.000       0.000       0.000
   365    12    31  2003     173    agrc                        0.000       0.000       0.000       0.000
   365    12    31  2003     174    frsd                        0.000       0.000       0.000       0.000
   365    12    31  2003     175    frsd                        0.000       0.000       0.000       0.000
   365    12    31  2003     176    corn                    10597.216    4768.748     185.451      26.493
   365    12    31  2003     177    corn                     9964.319    4483.943     174.376      24.911
   365    12    31  2003     178    fesc                        0.000       0.000       0.000       0.000
   365    12    31  2003     179    fesc                        0.000       0.000       0.000       0.000
   365    12    31  2003     180    fesc                        0.000       0.000       0.000       0.000
   365    12    31  2003     181    fesc                        0.000       0.000       0.000       0.000
   365    12    31  2003     182    frse                        0.000       0.000       0.000       0.000
   365    12    31  2003     183    agrc                        0.000       0.000       0.000       0.000
   365    12    31  2003     184    agrc                        0.000       0.000       0.000       0.000
   365    12    31  2003     185    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2003     186    soyb                     2279.026    1025.562      76.376      17.548
